Year,Genre_ID,Average_Rating,Total_Movies,Box_Office_Millions,Avg_Runtime_Minutes,Budget_Millions,Votes_Count,Popularity_Score
2000,1,5.4,177,125.93,105,104.7,271095,60.4
2000,1,6.8,35,281.79,167,47.52,499372,86.9
2000,1,7.5,90,5.0,176,155.71,382325,65.1
2000,1,7.0,278,98.81,106,131.42,83987,98.6
2000,1,6.7,204,89.71,178,234.62,410291,57.8
2000,1,5.1,53,331.17,147,145.84,413601,97.1
2000,2,7.9,245,37.23,127,63.84,115010,60.1
2000,2,7.6,116,24.06,140,32.66,157258,80.7
2000,2,8.0,98,296.34,101,240.35,200316,85.4
2000,2,6.9,249,34.23,170,212.12,473617,96.4
2000,2,6.0,45,23.39,148,248.2,457672,94.5
2000,3,6.0,291,103.44,127,172.36,75807,98.9
2000,3,6.3,297,692.08,95,107.58,270609,99.1
2000,3,5.6,205,153.51,97,116.33,195215,68.5
2000,4,7.1,220,29.8,98,15.02,307024,62.4
2000,4,4.6,273,71.52,104,188.85,452448,86.8
2000,5,7.9,162,123.59,125,67.73,199159,66.6
2000,5,8.9,49,456.95,115,149.62,379189,53.6
2000,5,7.9,90,169.59,88,104.02,453686,77.2
2000,6,5.5,188,72.33,171,118.01,148032,59.2
2000,6,6.5,121,185.75,145,23.6,247356,76.9
2000,6,8.9,295,98.63,123,225.5,251463,78.4
2000,6,6.7,139,73.47,156,167.94,139009,72.2
2000,6,7.3,101,42.58,143,235.5,167405,84.3
2000,6,6.8,215,88.64,88,249.17,171851,79.1
2000,6,8.0,299,245.86,171,42.45,188279,59.3
2000,7,4.6,184,17.8,118,24.31,481563,52.4
2000,8,6.5,298,75.43,164,41.43,296830,74.0
2000,8,4.7,74,117.96,171,145.78,159097,71.9
2000,8,6.1,153,51.38,141,106.65,281444,84.6
2000,8,8.7,168,447.0,143,149.95,33769,79.1
2000,8,7.3,138,108.98,171,176.09,106315,92.1
2000,8,8.0,35,117.02,155,236.81,126865,95.7
2000,8,6.5,37,30.75,142,84.9,192313,64.9
2000,9,5.0,241,302.1,160,100.97,468633,77.6
2000,9,6.7,34,78.3,106,152.62,130648,71.0
2000,9,6.9,128,464.65,134,44.39,57754,52.5
2000,9,6.2,123,182.5,162,161.55,73394,55.7
2000,9,6.0,21,34.64,93,85.69,315201,98.5
2001,1,4.8,212,400.63,159,66.12,350132,87.8
2001,1,5.6,123,549.61,107,184.91,484410,76.7
2001,1,4.8,51,110.0,158,77.28,465592,81.5
2001,2,5.6,34,20.88,168,212.72,351068,95.9
2001,2,5.0,89,6.59,122,22.15,409797,62.5
2001,2,5.2,55,11.54,179,41.72,193319,75.9
2001,3,6.8,80,29.82,174,19.63,44066,79.1
2001,3,7.3,88,120.44,92,51.92,127457,64.9
2001,3,8.2,65,95.1,164,201.8,225062,93.8
2001,4,8.0,114,210.26,144,19.98,433941,75.5
2001,4,5.3,83,309.11,105,247.97,90353,78.6
2001,5,5.7,200,423.14,88,207.87,331838,86.8
2001,5,9.0,206,0.43,127,141.15,120501,65.7
2001,5,5.0,210,119.55,87,24.89,357742,59.6
2001,5,5.0,208,409.99,107,46.35,414244,88.8
2001,5,6.8,216,79.49,118,124.02,410008,65.8
2001,6,5.6,224,77.32,148,26.65,315260,74.2
2001,6,8.1,56,337.56,126,31.57,495041,58.9
2001,7,7.3,198,344.57,95,173.13,163947,54.3
2001,7,8.3,274,74.31,142,105.12,289646,65.8
2001,7,5.6,131,107.84,103,33.52,341662,86.7
2001,8,4.8,234,107.84,142,80.4,93850,86.0
2001,8,7.0,122,6.97,179,83.38,94297,72.5
2001,8,6.3,208,195.98,133,171.21,190826,71.5
2001,9,8.2,139,12.12,130,142.83,300155,83.7
2002,1,9.0,234,126.82,135,90.26,160204,99.1
2002,1,7.6,93,36.11,165,64.31,394444,72.8
2002,1,7.9,162,33.58,102,178.15,370536,92.6
2002,1,6.3,293,66.0,97,134.45,395768,98.7
2002,1,4.5,51,386.61,131,217.94,217775,87.9
2002,1,4.7,131,116.93,159,129.1,443765,65.7
2002,1,5.0,69,162.92,103,86.07,265080,50.8
2002,2,5.9,49,47.01,132,175.43,44459,98.3
2002,3,8.5,160,305.76,175,30.19,300569,93.2
2002,3,8.8,217,155.17,171,108.71,245159,63.8
2002,3,7.5,298,89.35,144,96.07,268413,98.2
2002,4,5.9,297,230.47,86,76.5,187493,65.2
2002,4,9.1,33,99.35,97,71.49,333255,84.1
2002,5,8.0,157,225.04,143,171.37,311066,85.0
2002,5,5.7,297,124.28,133,106.49,341426,63.9
2002,5,6.4,194,262.95,108,246.96,160682,90.5
2002,5,5.7,142,321.5,99,185.26,371191,77.1
2002,6,4.6,179,339.61,106,105.28,289456,89.8
2002,6,5.0,77,141.76,139,13.33,336949,65.0
2002,7,7.1,200,48.95,173,203.3,468059,78.8
2002,7,8.2,147,351.13,88,95.58,232977,70.2
2002,7,7.6,239,1153.93,161,30.65,12962,67.1
2002,7,6.9,269,239.59,162,37.64,91678,85.7
2002,7,8.3,246,410.69,165,219.26,193150,60.9
2002,7,9.0,161,207.58,144,15.42,458364,57.3
2002,8,7.9,84,131.3,137,172.59,426189,96.0
2002,8,8.8,120,154.02,89,116.11,146698,57.4
2002,8,8.2,22,245.02,163,81.02,279720,88.9
2002,8,6.6,189,142.11,179,155.05,111957,77.2
2002,8,5.5,288,262.73,171,134.71,216341,87.8
2002,8,5.4,78,233.69,136,79.16,445874,64.3
2002,9,9.1,21,130.92,171,72.36,30670,87.5
2002,9,5.2,233,215.63,147,150.54,5011,61.2
2002,9,6.3,281,114.63,143,24.75,379422,60.5
2002,9,7.6,215,187.98,125,154.43,348855,97.6
2002,9,6.4,188,147.14,97,49.04,114218,56.3
2002,9,7.5,56,248.58,133,170.61,66679,67.4
2002,9,7.4,67,212.99,134,173.81,124745,75.1
2003,1,5.1,59,230.64,108,63.92,162771,83.5
2003,1,7.5,30,7.48,101,98.86,402954,62.8
2003,2,6.8,206,128.49,145,57.67,475365,64.7
2003,3,7.6,89,188.31,91,106.77,249090,77.9
2003,3,6.3,175,75.31,119,49.12,179734,74.1
2003,3,5.7,61,8.04,159,42.51,219599,52.8
2003,3,7.6,115,88.15,116,173.11,471949,56.7
2003,3,5.2,155,425.23,97,107.3,400017,83.0
2003,3,7.0,113,237.34,89,16.05,43317,56.5
2003,3,6.5,289,92.2,105,201.1,53344,90.6
2003,3,9.1,228,188.1,138,46.91,222421,71.1
2003,3,5.5,80,130.49,98,190.31,497246,85.9
2003,4,6.6,284,67.34,152,204.38,364154,93.3
2003,4,8.3,170,83.66,111,184.88,38394,53.3
2003,5,6.6,265,238.62,99,13.98,221935,64.2
2003,5,5.7,187,80.22,148,186.31,12549,51.7
2003,6,8.1,98,148.5,139,157.27,386350,57.0
2003,6,7.9,141,19.92,90,106.17,77396,84.0
2003,7,7.0,104,260.0,162,147.75,292568,92.5
2003,7,5.9,79,446.6,104,175.38,368747,65.0
2003,7,7.2,171,232.23,109,141.26,13379,63.4
2003,8,7.7,183,103.17,134,108.69,404040,87.7
2003,8,8.8,266,43.72,174,35.93,105127,89.0
2003,9,6.5,202,16.61,92,168.28,31480,92.1
2003,9,7.3,210,274.57,120,38.37,160132,78.9
2003,9,7.5,167,43.06,149,62.92,381069,51.7
2003,9,5.4,19,100.82,148,41.96,200618,85.1
2004,1,6.4,86,153.93,96,208.22,264136,88.3
2004,1,6.0,115,202.42,124,110.58,459819,52.8
2004,2,5.2,213,34.41,173,208.26,195152,88.2
2004,2,5.5,72,179.75,91,24.39,482937,93.1
2004,2,8.2,202,69.83,112,28.42,55675,71.9
2004,2,7.2,148,206.02,168,141.66,178926,77.3
2004,2,6.3,118,183.95,173,148.01,416685,65.5
2004,3,5.1,286,118.68,140,85.66,122684,64.3
2004,3,6.4,124,355.58,156,249.46,385096,78.8
2004,3,5.8,113,82.95,144,237.76,337606,56.4
2004,4,9.2,99,247.6,178,241.67,302549,61.4
2004,4,7.3,143,348.78,124,152.43,307606,94.6
2004,4,5.1,63,7.7,127,50.77,461900,86.2
2004,4,8.3,161,224.74,85,204.85,295499,83.8
2004,5,5.5,96,56.78,149,187.11,67985,53.2
2004,5,8.4,81,81.55,167,219.83,395002,72.9
2004,6,9.0,100,39.25,117,112.6,130553,69.6
2004,6,7.5,273,25.05,103,230.14,166707,85.4
2004,6,5.2,80,113.9,93,41.97,324036,76.9
2004,6,6.8,64,84.21,177,235.72,172616,51.5
2004,6,6.4,77,49.97,124,127.51,195824,72.9
2004,6,4.6,210,241.2,100,104.36,80795,68.0
2004,6,8.9,289,5.35,98,172.61,139925,85.7
2004,7,6.5,119,144.06,156,101.87,147768,53.8
2004,7,5.6,177,77.77,174,225.37,202798,83.8
2004,8,5.0,69,20.82,140,237.22,172277,55.9
2004,8,4.5,284,119.24,134,48.73,282209,60.2
2004,8,6.4,192,167.05,166,163.96,208440,96.7
2004,8,7.6,264,131.4,146,139.87,349586,72.9
2004,8,7.1,205,140.63,107,185.03,326724,71.8
2004,9,8.6,19,18.91,143,31.94,16116,74.7
2005,2,7.5,279,23.0,143,119.0,189305,86.8
2005,3,5.3,46,137.36,98,202.58,396460,55.0
2005,3,8.3,24,304.47,163,42.95,331763,90.7
2005,4,7.3,261,84.68,123,165.95,210884,75.4
2005,4,7.3,221,47.5,175,124.84,97426,74.2
2005,5,8.4,274,20.15,143,15.69,235856,64.1
2005,5,5.8,188,0.3,126,160.16,5136,81.9
2005,5,5.0,155,118.31,138,244.37,237042,98.9
2005,6,7.3,190,4.97,172,200.13,39871,51.1
2005,6,4.5,26,80.58,124,168.84,202239,50.5
2005,6,5.6,35,4.19,95,87.65,235453,73.8
2005,7,7.6,49,183.72,133,165.58,114793,86.9
2005,7,8.1,15,178.51,164,151.12,344829,85.3
2005,8,6.1,146,262.92,172,139.67,39185,66.8
2005,8,9.1,159,83.29,162,225.28,287198,51.4
2005,9,6.8,100,341.94,121,193.69,34896,70.9
2005,9,7.0,130,2.14,139,66.0,214286,69.3
2005,9,8.1,175,36.0,147,108.95,214893,52.6
2005,9,5.3,37,70.38,118,59.64,327160,88.0
2006,1,5.8,96,150.91,102,16.18,292230,52.3
2006,1,7.8,242,120.47,175,51.02,495670,55.0
2006,1,7.8,75,175.68,98,79.47,10637,97.3
2006,1,8.8,75,11.23,112,124.44,136393,70.4
2006,1,5.2,251,696.3,178,183.3,243878,99.3
2006,2,6.7,294,291.87,104,206.15,32105,87.9
2006,2,7.4,196,168.86,126,203.3,106072,71.2
2006,2,5.6,219,139.77,109,45.82,63287,51.7
2006,2,5.1,230,44.22,86,30.41,42081,62.9
2006,2,8.6,75,149.95,148,57.67,35409,95.5
2006,3,6.1,228,1.97,168,176.17,484498,73.7
2006,3,7.3,282,70.98,141,141.55,300477,56.4
2006,3,6.0,215,538.6,161,143.55,232237,62.2
2006,3,4.8,76,255.87,133,28.53,307899,84.8
2006,3,8.6,106,86.73,142,157.7,383650,94.7
2006,4,7.4,46,151.81,124,87.84,398783,68.4
2006,4,7.9,134,73.32,119,69.65,46689,55.4
2006,5,5.7,245,124.27,146,110.6,409456,81.1
2006,5,8.6,279,216.02,148,139.67,145926,78.9
2006,5,6.8,48,7.32,128,116.58,82463,97.3
2006,5,5.5,181,220.94,122,153.85,290014,76.2
2006,6,4.5,38,432.31,113,197.99,297303,52.6
2006,6,4.8,22,111.91,96,155.22,151644,76.4
2006,6,4.8,202,169.74,99,100.4,1363,91.1
2006,6,8.1,283,287.18,101,175.68,255822,98.2
2006,7,9.0,16,145.5,122,143.49,470116,58.4
2006,7,6.2,287,110.6,172,188.15,438480,56.3
2006,7,7.1,218,93.84,106,172.98,4089,59.8
2006,8,8.7,31,80.59,127,145.42,417704,72.2
2006,8,5.8,260,19.43,139,235.95,284353,85.5
2006,8,6.9,198,113.76,131,221.14,82268,67.7
2006,9,5.0,248,320.55,145,185.56,477471,59.9
2006,9,4.8,232,355.34,149,29.5,484178,99.0
2006,9,6.8,246,600.19,111,164.94,312438,99.2
2007,1,8.9,224,20.09,169,150.54,426232,89.6
2007,1,6.9,86,139.52,92,29.35,109255,67.9
2007,2,7.6,289,28.33,167,178.42,470643,93.3
2007,2,5.4,35,285.25,138,148.48,482862,68.3
2007,3,7.0,27,76.99,151,65.53,148646,66.7
2007,3,8.1,273,174.73,139,12.71,103478,50.8
2007,3,7.6,141,41.0,105,224.97,351532,83.8
2007,3,4.7,145,135.14,95,101.19,231693,54.3
2007,3,8.2,53,255.58,104,241.24,443953,71.5
2007,3,4.7,175,419.67,116,135.62,120392,84.5
2007,3,6.1,247,85.15,108,193.52,414440,63.2
2007,4,5.9,227,37.9,143,128.21,128732,73.4
2007,4,8.5,241,217.05,178,150.29,56830,65.8
2007,4,8.9,274,6.96,131,84.93,497020,96.9
2007,5,4.8,127,190.76,158,191.75,278530,98.2
2007,5,7.3,132,5.49,97,154.59,480933,72.7
2007,5,9.0,132,185.36,164,151.2,377156,54.0
2007,5,6.8,106,265.26,100,160.08,38052,98.2
2007,5,8.2,272,118.74,122,164.94,58196,99.8
2007,5,7.4,91,1.2,132,172.11,226687,59.4
2007,7,7.1,257,135.02,106,190.58,51906,67.3
2007,7,6.1,282,70.08,141,198.26,330801,82.1
2007,8,5.2,71,30.09,95,218.97,143429,73.7
2007,8,7.0,150,566.52,105,171.34,496671,87.5
2007,8,7.4,142,679.48,119,197.65,406881,89.8
2007,9,7.6,58,34.81,159,96.66,183774,90.8
2007,9,9.1,227,34.31,106,133.47,185054,75.5
2007,9,5.3,35,47.51,122,152.51,398798,86.7
2008,1,5.3,61,67.45,173,148.84,7464,58.4
2008,1,7.6,44,46.97,100,83.87,79863,93.1
2008,1,5.4,78,116.72,115,205.29,211809,92.0
2008,1,6.6,256,435.38,176,83.54,6499,78.2
2008,2,5.1,172,96.77,161,247.68,313636,55.9
2008,2,8.2,276,65.97,174,191.23,4174,65.6
2008,2,6.6,96,405.74,179,112.36,133371,63.3
2008,3,5.3,84,51.62,98,74.36,239009,72.2
2008,3,6.4,172,223.28,145,45.21,368371,83.1
2008,4,7.1,114,128.48,132,233.3,407884,83.8
2008,4,6.4,182,65.79,146,62.49,47032,54.2
2008,4,9.1,65,103.39,133,24.89,52567,56.8
2008,4,6.7,79,6.43,119,191.93,154956,91.5
2008,5,7.1,231,265.58,122,46.94,90360,51.0
2008,5,7.0,225,329.58,172,239.83,199767,57.7
2008,5,5.1,168,127.26,135,216.8,204675,82.2
2008,5,4.7,141,428.52,90,176.0,354972,89.0
2008,6,8.0,104,215.52,150,112.27,284173,81.1
2008,6,8.1,276,228.04,157,121.68,363566,98.5
2008,8,4.6,227,29.06,114,194.46,334936,93.1
2008,8,5.2,237,170.7,144,209.56,488997,96.3
2008,8,8.4,178,298.14,94,153.83,160484,87.3
