Age,YearsAtCompany,MonthlyHours,SatisfactionScore,Salary,AttritionRisk
46,3.7,133.9,7.3,58615,17.3
25,1.1,207.4,7.1,58249,30.8
30,2.3,180.8,7.1,56185,33.3
22,4.1,94.9,1.6,34708,45.5
43,6.1,178.4,7.6,64540,29.9
41,6.3,173.5,8.4,61393,23.7
32,1.9,146.3,9.2,53852,23.2
32,2.1,87.7,1.7,31243,44.0
43,0.4,157.7,5.6,43879,38.5
54,2.3,136.4,2.3,29639,45.6
42,7.7,196.0,3.1,43945,53.6
51,14.0,122.6,1.8,46902,22.4
36,5.1,168.4,5.8,55206,37.9
48,2.1,176.1,9.0,64484,21.3
39,0.6,169.2,2.4,39468,33.0
48,0.1,143.6,5.5,57055,25.0
44,1.0,185.6,6.6,63678,30.4
24,1.8,109.8,9.5,62534,4.8
24,6.1,145.0,6.6,54151,21.1
23,2.4,159.0,6.5,53174,33.6
48,2.6,212.3,2.4,42244,52.1
27,2.9,163.9,4.5,51252,45.6
55,1.8,154.6,4.9,55436,43.3
51,1.2,150.9,5.0,50715,39.0
46,6.5,163.9,5.6,54459,27.0
29,9.2,130.2,4.3,47153,7.2
55,1.8,161.6,7.3,55212,21.3
37,8.6,174.3,8.1,65495,12.5
59,1.5,184.3,3.0,41258,52.3
42,1.3,179.9,3.1,46664,61.9
52,1.0,147.5,9.8,71139,3.9
43,2.2,154.6,1.2,32287,54.4
36,0.5,132.4,5.8,43617,39.5
50,19.8,162.2,1.6,53122,34.4
22,2.3,190.0,2.0,29353,58.3
22,3.8,213.5,6.4,46864,38.9
40,15.5,189.8,2.8,50155,44.8
59,1.4,186.4,6.7,61925,37.7
29,2.4,140.4,6.4,52198,25.8
59,2.0,180.4,9.7,70229,27.2
55,6.2,137.4,7.8,66048,1.6
23,3.8,157.0,8.0,59950,24.4
43,3.6,137.3,1.8,31832,39.2
32,0.5,131.8,5.9,46483,21.3
58,0.1,130.1,4.3,47562,34.2
57,1.1,130.7,4.7,58723,30.5
49,0.1,161.7,9.6,70660,9.1
38,1.3,173.8,2.0,37160,61.5
38,11.4,135.9,6.8,53837,2.8
54,1.3,150.5,8.8,66632,29.0
38,0.3,181.4,2.0,31764,48.2
40,1.3,214.7,7.4,64833,20.8
33,17.1,175.5,3.0,43287,40.0
54,2.2,160.0,3.9,49080,37.1
53,5.2,139.4,8.6,60363,3.4
35,3.8,173.4,1.4,33519,61.6
59,0.8,182.2,8.2,66429,30.0
52,5.4,205.5,8.4,66097,35.0
55,1.8,179.4,4.2,45427,43.2
24,6.0,147.8,6.6,50660,31.2
50,6.3,187.2,5.6,52416,29.2
58,4.0,156.2,3.3,38593,40.4
48,5.7,128.6,8.0,73103,6.0
32,4.1,158.4,1.2,38654,62.8
58,4.3,183.5,5.8,50728,46.0
49,0.0,124.8,9.6,73121,13.1
43,3.0,176.8,6.3,50800,15.9
51,0.8,144.1,3.9,54194,40.7
54,5.9,168.0,2.8,39079,47.7
31,0.1,137.3,9.7,70343,15.0
55,0.3,187.4,6.1,51864,34.4
46,1.6,194.0,1.1,37222,59.6
33,3.5,152.8,2.6,30270,24.9
