StudentID,HoursStudied,AttendancePercent,PreviousScore,Passed
20000,3.7,46.2,79.5,1
20001,9.5,94.2,40.7,1
20002,7.3,70.3,70.3,1
20003,6.0,89.6,72.5,1
20004,1.6,59.2,59.7,0
20005,1.6,93.7,81.6,1
20006,0.6,63.4,95.4,0
20007,8.7,40.7,94.8,1
20008,6.0,94.3,61.6,1
20009,7.1,45.5,37.9,0
20010,0.2,59.2,98.9,1
20011,9.7,97.0,88.7,1
20012,8.3,97.0,38.7,0
20013,2.1,74.4,94.5,1
20014,1.8,77.9,90.9,1
20015,1.8,66.9,66.3,1
20016,3.0,57.6,71.4,1
20017,5.2,59.7,57.9,1
20018,4.3,80.4,33.8,0
20019,2.9,85.1,53.5,1
20020,6.1,87.5,86.2,1
20021,1.4,87.4,30.3,0
20022,2.9,45.5,53.3,0
20023,3.7,69.7,57.9,0
20024,4.6,43.5,67.6,0
20025,7.9,73.0,94.4,1
20026,2.0,66.5,54.2,0
20027,5.1,93.3,54.3,1
20028,5.9,61.1,81.6,1
20029,0.5,47.0,61.7,0
20030,6.1,48.6,45.7,1
20031,1.7,85.7,61.7,1
20032,0.7,77.1,39.9,0
20033,9.5,46.1,42.3,1
20034,9.7,45.0,64.9,1
20035,8.1,82.1,59.3,1
20036,3.0,44.4,94.0,0
20037,1.0,89.3,55.4,1
20038,6.8,82.4,70.6,1
20039,4.4,44.9,74.3,1
20040,1.2,45.1,30.9,1
20041,5.0,99.2,76.4,1
20042,0.3,62.5,42.5,0
20043,9.1,62.2,97.3,1
20044,2.6,88.8,40.4,1
20045,6.6,96.8,59.0,1
20046,3.1,99.2,36.0,1
20047,5.2,85.2,99.8,1
20048,5.5,62.6,65.2,0
20049,1.8,45.0,71.7,0
20050,9.7,86.6,34.7,0
20051,7.8,73.5,82.5,1
20052,9.4,65.5,44.7,1
20053,8.9,94.4,92.9,1
20054,6.0,46.7,44.4,0
20055,9.2,69.6,43.3,1
20056,0.9,40.7,32.6,0
20057,2.0,68.1,63.0,0
20058,0.5,43.4,69.5,1
20059,3.3,47.1,34.6,0
20060,3.9,47.1,84.3,0
20061,2.7,79.0,61.7,1
20062,8.3,84.8,66.7,1
20063,3.6,75.0,60.9,0
20064,2.8,97.7,58.1,1
20065,5.4,62.5,69.2,0
20066,1.4,57.1,40.9,0
20067,8.0,92.1,42.7,0
20068,0.7,53.4,90.3,0
20069,9.9,97.8,96.2,1
20070,7.7,40.7,56.1,0
20071,2.0,98.2,49.0,1
20072,0.1,42.6,75.1,0
20073,8.2,93.5,58.6,1
20074,7.1,71.7,31.8,1
20075,7.3,99.6,40.9,1
20076,7.7,44.4,80.1,1
20077,0.7,73.2,76.1,0
20078,3.6,98.2,31.9,1
20079,1.2,71.4,45.5,0
20080,8.6,77.8,46.2,1
20081,6.2,81.7,77.0,1
20082,3.3,67.3,31.4,1
20083,0.6,77.7,37.3,0
20084,3.1,75.1,86.0,1
20085,3.3,94.1,42.5,0
20086,7.3,42.7,75.7,1
20087,6.4,56.9,46.7,1
20088,8.9,97.0,37.0,1
20089,4.7,93.4,47.0,1
20090,1.2,67.3,80.6,0
20091,7.1,77.2,89.9,1
20092,7.6,56.6,88.1,1
