tv_budget_k,radio_budget_k,social_media_budget_k,sales_revenue_k
39.6,31.6,66.4,14.0
257.7,24.5,55.7,14.6
162.8,49.3,60.2,16.6
249.5,11.7,78.6,25.9
96.5,25.9,48.6,10.9
253.6,35.6,5.0,24.4
234.1,22.8,17.2,15.1
76.7,48.9,44.4,20.0
48.1,37.5,72.8,20.8
261.7,34.6,59.7,14.3
289.3,39.1,65.4,17.8
19.1,47.9,48.4,15.3
222.1,45.9,62.0,6.7
273.8,37.6,33.6,15.9
258.6,38.7,47.5,7.4
289.7,11.6,74.7,15.1
230.4,9.6,87.3,19.8
138.3,30.7,43.9,19.5
100.5,5.8,5.3,21.6
103.0,26.7,17.0,7.4
220.1,14.5,3.1,21.3
226.3,20.6,65.7,12.8
68.1,39.9,33.9,15.0
261.8,47.4,54.7,26.4
217.3,8.3,49.8,5.2
173.2,29.0,9.1,19.7
146.7,44.7,40.9,20.0
167.5,8.7,22.8,14.9
56.2,42.1,42.4,10.9
69.1,21.1,21.2,10.9
36.4,19.5,84.2,27.1
54.6,49.0,18.2,16.1
141.6,14.0,96.1,13.3
163.8,36.2,42.2,16.2
15.2,42.0,84.8,21.7
241.1,6.9,63.2,8.6
95.3,35.2,73.8,16.2
274.4,47.8,77.0,19.7
290.6,10.6,51.0,28.7
63.8,45.3,54.8,11.3
144.0,31.8,51.9,14.0
10.4,32.7,59.2,14.5
183.5,32.6,3.9,20.1
186.1,18.4,40.2,13.9
81.8,47.1,61.0,18.3
171.9,47.6,60.2,24.5
75.4,33.1,79.5,22.6
56.6,40.3,65.8,16.2
198.9,32.6,99.2,26.6
104.5,26.8,29.1,19.0
