year,mileage_km,engine_size_l,horsepower,price_usd
2015,57487,2.6,269,31470
2019,134948,2.8,201,23491
2021,17342,3.3,125,4341
2011,45806,2.6,143,27791
2014,53770,1.8,209,3338
2010,83623,3.1,272,8895
2016,108177,1.9,260,15254
2010,136026,1.1,108,14344
2013,80629,3.1,228,4750
2018,125993,1.9,346,5421
2010,131944,2.9,90,42887
2013,110947,1.9,243,8319
2015,31399,3.2,192,18896
2015,133177,1.5,266,14918
2021,114575,3.4,311,28064
2022,115904,2.9,306,30935
2017,35678,1.3,177,40641
2010,81218,2.4,134,32711
2016,68230,3.5,190,7806
2010,79055,2.2,231,44360
2022,167552,1.5,325,15182
2023,77258,2.2,148,25297
2016,44986,2.3,329,22541
2012,160232,2.9,115,31921
2020,90595,2.7,318,19774
2017,106358,2.0,227,40198
2012,69929,1.5,306,11820
2023,78506,2.6,323,27070
2023,39911,2.1,280,7232
2022,92127,1.3,233,14122
2010,167893,3.3,152,18023
2022,118453,2.7,280,11007
2022,89458,2.7,96,20905
2023,17175,3.1,208,44786
2017,124235,2.3,296,32398
2012,59771,3.0,140,37268
2011,132157,2.2,183,9737
2010,126300,1.2,121,39062
2023,91925,2.0,104,28510
2012,71358,2.2,118,22426
2011,153399,2.8,210,40265
2011,52057,1.3,308,20850
2015,11150,1.4,187,3614
2021,9425,1.7,251,24776
2010,21032,1.7,181,27077
2011,7198,2.8,91,12374
2023,156151,1.6,180,38435
2015,172292,2.6,123,33907
2012,177946,2.2,96,16409
2013,149931,2.4,136,19514
