relative_compactness,surface_area,wall_area,overall_height,heating_load
0.91,530.5,295.8,7.0,43.15
0.92,545.9,388.7,7.0,15.37
0.62,573.8,372.9,7.0,30.52
0.7,548.2,394.4,7.0,27.71
0.88,556.0,259.9,7.0,31.4
0.86,585.5,356.9,3.5,10.63
0.66,552.0,390.1,3.5,40.52
0.67,769.0,269.0,7.0,42.62
0.73,524.1,250.6,3.5,29.78
0.77,657.4,358.6,7.0,34.38
0.82,623.1,331.9,7.0,42.29
0.73,794.7,374.7,3.5,34.75
0.76,533.6,262.4,3.5,15.34
0.86,619.4,367.2,3.5,30.17
0.61,790.8,272.3,7.0,31.24
0.69,759.7,266.2,3.5,24.84
0.85,745.1,266.3,7.0,35.78
0.91,577.4,370.3,7.0,42.7
0.78,551.3,346.4,7.0,42.39
0.79,700.6,323.7,3.5,25.78
0.64,778.8,297.4,3.5,13.96
0.76,667.0,380.4,7.0,44.47
0.79,671.5,302.8,3.5,39.36
0.68,584.0,370.7,3.5,14.36
0.69,730.8,310.3,3.5,42.23
0.73,556.1,300.3,7.0,40.45
0.61,597.1,314.0,7.0,28.16
0.71,627.6,288.2,3.5,30.69
0.67,652.3,359.6,7.0,23.97
0.71,572.7,320.4,3.5,11.92
0.64,534.5,277.2,3.5,21.73
0.91,683.2,383.9,3.5,38.1
0.81,586.6,301.4,3.5,10.16
0.84,674.4,327.0,7.0,21.67
0.88,546.3,385.0,7.0,23.94
0.77,644.3,339.9,7.0,28.81
0.63,659.8,258.7,3.5,42.19
0.79,515.5,390.4,3.5,22.12
0.81,601.0,340.4,3.5,22.14
0.86,540.3,293.6,7.0,35.81
0.75,519.0,262.3,3.5,25.83
0.64,797.0,367.0,7.0,17.86
0.7,596.7,339.2,7.0,25.84
0.73,743.0,325.4,7.0,14.93
0.83,576.4,383.0,7.0,16.17
0.8,704.5,366.2,7.0,27.44
0.72,728.1,264.3,7.0,24.66
0.95,678.7,289.9,3.5,42.02
0.81,641.5,279.8,3.5,22.68
0.68,623.6,359.0,7.0,30.32
