species,length_cm,height_cm,width_cm,weight_g
Roach,24.2,6.9,5.0,440.0
Roach,20.7,9.1,5.2,580.9
Roach,23.1,12.0,6.1,546.9
Bream,29.6,6.4,5.7,450.7
Perch,26.2,6.3,7.7,367.9
Roach,26.8,14.7,7.7,190.0
Pike,40.3,12.1,7.2,148.1
Perch,42.9,5.4,5.8,962.7
Perch,17.1,9.0,6.8,862.4
Roach,21.3,9.3,6.1,419.4
Bream,35.1,12.4,5.4,961.1
Roach,25.8,7.5,2.8,709.1
Bream,22.6,6.8,6.9,534.3
Pike,23.9,5.8,6.9,543.7
Perch,24.7,9.3,5.8,175.0
Pike,40.5,11.9,6.9,182.5
Bream,19.1,5.6,5.9,642.2
Bream,36.3,14.2,3.2,598.3
Pike,31.6,9.4,3.6,291.5
Bream,23.9,7.4,3.3,951.6
Pike,27.6,5.9,4.3,803.2
Perch,22.7,6.8,2.2,202.1
Pike,33.3,14.3,5.7,937.8
Perch,17.4,11.4,4.0,976.8
Pike,15.2,10.2,5.9,996.3
Bream,33.8,11.6,4.3,150.3
Pike,20.8,9.4,6.1,763.3
Bream,17.1,12.3,4.0,591.3
Pike,26.9,5.5,3.6,735.2
Pike,16.5,10.7,5.0,971.8
Roach,41.6,6.6,6.2,719.2
Bream,15.8,6.2,4.1,853.3
Roach,32.4,8.4,7.6,880.2
Bream,28.2,5.9,2.2,854.6
Roach,35.2,5.9,4.5,483.5
Perch,24.8,8.1,7.8,300.3
Pike,19.7,14.8,5.3,457.0
Bream,44.5,6.8,4.5,902.7
Bream,40.2,5.2,5.4,231.9
Pike,40.8,12.6,5.5,562.0
Bream,22.5,13.1,6.4,309.9
Bream,16.2,8.5,2.8,623.2
Roach,24.1,9.6,3.5,876.8
Bream,31.1,11.5,5.5,892.3
Perch,24.8,5.5,7.2,313.0
Perch,39.8,14.5,5.4,916.9
Pike,23.1,13.9,3.4,632.7
Bream,44.0,7.6,6.1,415.2
Pike,28.7,5.2,6.4,737.4
Perch,40.3,14.3,3.4,533.5
