country,gdp_per_capita,schooling_years,alcohol_consumption_l,life_expectancy_years
Country_1,30666,8.5,5.6,55.2
Country_2,3783,10.2,7.5,79.6
Country_3,32505,6.2,9.0,61.9
Country_4,21462,9.4,0.5,82.3
Country_5,24310,11.8,10.7,55.0
Country_6,13451,14.5,10.3,71.7
Country_7,41798,5.0,5.5,77.7
Country_8,57646,11.1,4.8,62.8
Country_9,29335,8.9,3.3,60.8
Country_10,7440,16.1,5.8,57.5
Country_11,45347,14.3,0.6,64.8
Country_12,55420,12.7,10.2,71.8
Country_13,16117,8.6,0.5,58.5
Country_14,50872,16.8,4.0,66.3
Country_15,8364,5.6,11.2,55.3
Country_16,28145,6.4,8.8,79.6
Country_17,49088,10.1,3.4,58.9
Country_18,29487,6.6,3.1,63.5
Country_19,58636,17.4,0.2,55.6
Country_20,14537,15.4,8.4,68.0
Country_21,10123,8.4,0.7,80.2
Country_22,16029,12.7,6.4,66.8
Country_23,45281,17.8,11.5,60.4
Country_24,9302,16.5,1.4,77.6
Country_25,58882,12.8,10.7,78.7
Country_26,53193,16.7,11.9,60.2
Country_27,1345,17.9,0.8,78.1
Country_28,60605,14.7,10.6,83.4
Country_29,37914,5.8,6.2,60.0
Country_30,30230,10.2,10.9,78.1
Country_31,10796,15.9,6.9,76.3
Country_32,28588,8.0,8.0,69.2
Country_33,30769,15.8,6.6,56.7
Country_34,49343,6.6,10.4,57.2
Country_35,14719,5.6,8.8,80.6
Country_36,4610,10.0,6.3,84.7
Country_37,31386,5.5,10.4,75.3
Country_38,40774,17.4,3.0,68.4
Country_39,42573,15.7,2.0,74.4
Country_40,17171,15.4,2.0,72.8
Country_41,45884,13.2,4.1,66.5
Country_42,30429,7.8,2.9,57.0
Country_43,51984,11.7,11.2,79.6
Country_44,62716,12.8,1.4,66.2
Country_45,62557,11.8,8.4,79.6
Country_46,9236,8.4,2.4,62.6
Country_47,62987,11.7,10.6,55.0
Country_48,13784,11.4,11.5,59.8
Country_49,33839,18.0,5.6,69.1
Country_50,20695,16.7,10.6,83.3
