Year,Python_Developers_Millions,Java_Developers_Millions,Trend_Note
2016,5.2,7.1,"Java leads, Python growing"
2017,6.1,7.3,Python growth accelerates (AI/Data)
2018,7.3,7.5,Python approaches Java
2019,8.5,7.8,Python overtakes Java in some surveys
2020,9.8,8.1,"Pandemic era, cloud & AI boom"
2021,11.3,8.3,Python reaches ~11M+ globally
2022,13.5,8.6,Python dominance in data science solidifies
2023,15.2,8.8,"Enterprise Java stable, Python expanding"
2024,16.8,9.0,GenAI boom boosts Python
2025,18.0,9.2,Steady growth
2026,19.2,9.3,Current estimated figures
