Month,16GB DDR4 Price (USD),16GB DDR5 Price (USD)
2024-01-01,39.7,75.77
2024-02-01,39.91,74.61
2024-03-01,38.89,69.16
2024-04-01,34.97,70.42
2024-05-01,36.72,69.83
2024-06-01,33.71,66.6
2024-07-01,35.89,61.61
2024-08-01,34.33,61.12
2024-09-01,32.77,60.27
2024-10-01,33.91,58.91
2024-11-01,32.94,60.68
2024-12-01,28.43,56.52
2025-01-01,29.24,53.88
2025-02-01,29.14,54.89
2025-03-01,32.96,56.29
2025-04-01,29.28,53.28
2025-05-01,31.57,58.96
2025-06-01,30.12,52.89
2025-07-01,30.68,62.43
2025-08-01,43.84,80.63
2025-09-01,51.03,115.94
2025-10-01,75.67,144.32
2025-11-01,94.0,204.4
2025-12-01,125.14,248.79
2026-01-01,124.34,252.85
2026-02-01,121.03,257.23
2026-03-01,124.39,258.95
2026-04-01,130.55,262.17
2026-05-01,133.65,267.36
2026-06-01,128.58,264.39
2026-07-01,130.47,270.52
