house_age_years,distance_mrt_m,num_convenience_stores,price_per_sqm
39,1195,2,37.5
27,1421,0,49.5
10,2773,4,39.6
26,139,6,41.9
19,2795,5,65.2
39,589,0,37.4
3,2829,4,45.7
13,918,4,59.2
28,90,5,39.8
20,789,2,51.1
28,1996,4,63.1
8,2599,6,67.5
39,1274,4,27.4
1,978,4,66.3
3,2086,4,44.6
13,2558,9,32.9
28,2829,9,43.0
25,2849,2,69.0
33,974,0,44.6
38,1631,4,36.4
6,439,8,51.7
32,1667,0,32.0
21,2980,2,23.8
16,305,3,26.4
21,758,0,26.4
11,1888,0,27.6
37,1994,7,26.9
36,2547,1,52.0
35,59,7,29.1
19,2921,6,37.3
20,847,9,64.8
18,926,9,43.7
14,1078,1,53.4
15,1065,5,28.6
31,1874,5,29.6
1,423,2,22.0
3,2243,1,28.4
16,273,0,33.9
23,1312,5,28.9
11,2274,4,24.4
12,1852,8,26.0
10,902,0,43.0
32,112,6,30.3
16,1290,4,38.2
8,2924,4,45.2
38,2892,1,54.5
12,738,2,22.0
24,1534,6,60.0
28,1683,5,51.4
8,2202,1,24.1
