years_experience,education_level,certifications,annual_salary_usd
14.9,Masters,1,159099
17.3,Bachelors,3,56138
4.7,Bachelors,1,68429
2.4,Bachelors,5,95200
1.0,PhD,2,146268
13.0,PhD,5,62347
12.3,Bachelors,2,76822
11.2,PhD,5,85108
5.0,Masters,3,173955
8.1,Masters,4,52967
12.1,Masters,3,155719
10.2,Bachelors,1,56871
19.8,PhD,3,73179
3.2,Bachelors,0,100099
14.1,PhD,1,80262
8.4,Masters,5,123213
8.8,Bachelors,1,162407
14.5,PhD,4,131269
14.0,PhD,2,105545
19.8,Masters,5,84922
3.0,Bachelors,1,87913
2.5,Bachelors,5,142033
14.6,Bachelors,5,149792
11.8,Masters,5,164863
5.8,Bachelors,2,89936
2.0,Masters,3,73141
2.2,Masters,5,182478
17.9,Masters,0,142359
4.2,PhD,4,168279
6.8,Bachelors,2,86568
4.9,Bachelors,1,142539
7.4,Masters,2,91851
1.9,Masters,1,99823
10.6,Bachelors,2,68312
1.8,Masters,1,143723
16.1,Bachelors,5,57411
5.1,PhD,3,102009
11.0,Masters,1,77371
17.7,Bachelors,1,102022
13.2,Masters,0,116229
10.9,Bachelors,1,144071
6.8,Bachelors,0,141774
7.0,Masters,4,71715
13.6,PhD,5,72605
19.9,Bachelors,0,144853
13.4,Bachelors,3,76174
11.4,Bachelors,5,121373
14.7,PhD,0,114252
9.6,PhD,5,115017
1.7,Masters,5,108037
