study_hours_per_week,attendance_pct,sleep_hours_per_night,final_exam_score
19.8,64,8.0,93
3.1,85,7.0,40
34.6,87,7.2,83
6.1,61,8.8,95
9.6,65,8.4,84
3.7,68,8.7,81
23.1,92,8.3,86
9.4,84,5.4,98
7.9,72,5.6,52
4.9,68,7.1,94
5.4,72,6.0,61
21.3,90,6.9,93
24.7,70,6.6,60
15.1,63,7.2,61
17.8,93,8.0,67
24.6,97,7.9,48
2.6,63,7.1,65
12.7,97,8.3,48
34.1,78,6.7,54
21.1,65,8.6,49
10.4,93,5.3,63
19.2,77,8.8,97
13.3,72,7.6,96
19.6,82,6.5,81
6.1,78,5.8,47
6.4,70,6.9,63
6.7,60,5.8,55
33.0,83,5.7,88
26.2,66,7.5,65
7.4,84,7.1,66
8.2,80,7.7,76
26.1,74,8.7,43
7.2,60,7.1,89
9.7,71,7.3,63
33.8,66,5.4,58
10.4,74,7.9,75
23.8,80,6.6,99
34.3,78,8.9,78
14.4,88,8.3,49
2.6,84,7.1,64
10.1,92,5.5,57
29.4,91,8.4,58
30.5,94,8.2,75
27.4,97,5.7,49
5.7,85,6.2,72
28.3,70,8.2,94
32.3,94,5.7,89
21.8,67,8.7,44
33.0,73,6.7,86
29.3,69,5.3,88
