alcohol_pct,volatile_acidity,residual_sugar,pH,quality_score
11.4,0.19,4.4,3.53,5
8.6,0.89,2.7,3.42,7
10.1,0.18,3.8,2.99,6
13.1,0.18,13.8,3.16,8
9.3,0.11,10.3,3.58,3
11.7,1.15,5.1,3.35,3
9.8,0.91,12.8,2.81,4
8.6,0.49,13.5,3.56,6
9.9,0.43,13.3,2.84,3
14.4,0.48,14.3,3.55,5
13.3,0.95,4.6,3.0,6
14.3,0.83,11.9,3.76,5
11.4,0.3,7.6,3.17,5
9.2,0.29,13.2,3.13,3
11.8,0.21,11.5,2.95,6
11.2,0.83,12.2,3.11,8
13.6,0.94,10.5,3.68,7
9.1,0.39,3.5,3.8,3
11.4,0.12,8.9,3.17,3
9.4,0.19,15.3,3.25,8
10.4,1.16,14.6,3.52,6
12.9,0.42,1.5,3.69,6
11.4,0.95,3.3,3.39,5
10.8,0.79,2.8,3.19,8
10.9,0.52,11.5,3.21,8
11.3,0.33,12.8,3.5,6
13.2,0.23,4.0,2.8,5
13.9,0.78,8.3,3.42,3
14.2,0.95,13.2,3.16,4
13.2,0.81,11.6,3.59,7
10.4,0.68,8.8,2.89,3
12.6,0.15,9.5,3.39,6
11.1,1.17,8.3,3.28,7
10.0,0.98,5.2,3.44,4
13.5,0.42,9.1,2.86,4
8.7,1.18,11.0,3.38,5
13.9,0.76,13.7,3.36,7
11.3,0.74,10.2,3.36,5
12.3,0.92,12.0,3.4,3
12.5,0.99,3.2,3.48,8
13.9,0.82,7.6,3.6,8
12.3,0.24,1.0,3.07,8
12.2,0.47,4.5,3.63,7
8.9,1.12,11.5,3.3,8
11.6,0.35,15.4,2.88,3
9.4,0.51,2.3,2.86,5
12.9,0.58,6.8,3.13,7
11.6,0.58,12.6,3.58,5
12.6,0.77,3.9,3.51,7
8.8,1.14,9.0,3.59,5
